uniprot_id	protein_name	gene_name	organism	sequence_length	function
Q9Y252	E3 ubiquitin-protein ligase RNF6	RNF6	Homo sapiens	685	E3 ubiquitin-protein ligase mediating 'Lys-48'-linked polyubiquitination of LIMK1 and its subsequent targeting to the proteasome for degradation (By similarity). Negatively regulates axonal outgrowth through regulation of the LIMK1 turnover (By similarity). Mediates 'Lys-6' and 'Lys-27'-linked polyubiquitination of AR/androgen receptor thereby modulating its transcriptional activity (PubMed:19345326). May also bind DNA and function as a transcriptional regulator (By similarity). Mediates polyubiquitination of QKI in macrophages, leading to its degradation (By similarity)
O95147	Dual specificity protein phosphatase 14	DUSP14	Homo sapiens	198	Involved in the inactivation of MAP kinases. Dephosphorylates ERK, JNK and p38 MAP-kinases. Plays a negative role in TCR signaling by dephosphorylating MAP3K7 adapter TAB1 leading to its inactivation (PubMed:24403530)
Q9Y6J8	Serine/threonine/tyrosine-interacting-like protein 1	STYXL1	Homo sapiens	313	Catalytically inactive phosphatase (PubMed:20180778, PubMed:23163895). By binding to G3BP1, inhibits the formation of G3BP1-induced stress granules (PubMed:20180778, PubMed:23163895). Does not act by protecting the dephosphorylation of G3BP1 at 'Ser-149' (PubMed:23163895). Inhibits PTPMT1 phosphatase activity (PubMed:24709986). By inhibiting PTPMT1, positively regulates intrinsic apoptosis (PubMed:21262771). May play a role in the formation of neurites during neuronal development (PubMed:29250526)
Q9P2E9	Ribosome-binding protein 1	RRBP1	Homo sapiens	1410	Acts as a ribosome receptor and mediates interaction between the ribosome and the endoplasmic reticulum membrane
Q8WVJ2	NudC domain-containing protein 2	NUDCD2	Homo sapiens	157	May regulate the LIS1/dynein pathway by stabilizing LIS1 with Hsp90 chaperone
Q15928	Zinc finger protein 141	ZNF141	Homo sapiens	474	May be involved in transcriptional regulation as a repressor. Plays a role in limb development
Q99500	Sphingosine 1-phosphate receptor 3	S1PR3	Homo sapiens	378	Receptor for the lysosphingolipid sphingosine 1-phosphate (S1P). S1P is a bioactive lysophospholipid that elicits diverse physiological effect on most types of cells and tissues. When expressed in rat HTC4 hepatoma cells, is capable of mediating S1P-induced cell proliferation and suppression of apoptosis
Q96KK3	Delayed-rectifier potassium channel regulatory subunit KCNS1	KCNS1	Homo sapiens	526	Potassium channel regulatory subunit that modulate the delayed rectifier voltage-gated potassium channel activity of KCNB1 and KCNB2 by altering their kinetics, expression levels, and shifting the half-inactivation potential to more polarized values (PubMed:10484328). While it does not form functional channels on its own, it can form functional heterotetrameric channels with KCNB1 and KCNB2 (PubMed:10484328). Each regulatory subunit has unique regulatory properties that can lead to extensive inhibition, significant changes in kinetics, and/or substantial shifts in the voltage dependencies of the inactivation process (By similarity)
Q2M3C6	Transmembrane protein 266	TMEM266	Homo sapiens	523	Voltage-sensor protein present on the post-synaptic side of glutamatergic mossy fibers and granule cells in the cerebellum (PubMed:25165868, PubMed:30810529). Despite the presence of a voltage-sensor segment, does not form a functional ion channel and its precise role remains unclear (PubMed:25165868, PubMed:30810529). Undergoes both rapid and slow structural rearrangements in response to changes in voltage (PubMed:30810529). Contains a zinc-binding site that can regulate the slow conformational transition (PubMed:30810529)
O95340	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2	PAPSS2	Homo sapiens	614	Bifunctional enzyme with both ATP sulfurylase and APS kinase activity, which mediates two steps in the sulfate activation pathway. The first step is the transfer of a sulfate group to ATP to yield adenosine 5'-phosphosulfate (APS), and the second step is the transfer of a phosphate group from ATP to APS yielding 3'-phosphoadenylylsulfate/PAPS, the activated sulfate donor used by sulfotransferases (PubMed:11773860, PubMed:19474428, PubMed:23824674, PubMed:25594860). In mammals, PAPS is the sole source of sulfate while APS appears to only be an intermediate in the sulfate-activation pathway (PubMed:11773860, PubMed:19474428, PubMed:23824674, PubMed:25594860). Plays indirectly an important role in skeletogenesis during postnatal growth (PubMed:9771708)
O60673	DNA polymerase zeta catalytic subunit	REV3L	Homo sapiens	3130	Catalytic subunit of the DNA polymerase zeta complex, an error-prone polymerase specialized in translesion DNA synthesis (TLS). Lacks an intrinsic 3'-5' exonuclease activity and thus has no proofreading function
P11142	Heat shock cognate 71 kDa protein	HSPA8	Homo sapiens	646	Molecular chaperone implicated in a wide variety of cellular processes, including protection of the proteome from stress, folding and transport of newly synthesized polypeptides, chaperone-mediated autophagy, activation of proteolysis of misfolded proteins, formation and dissociation of protein complexes, and antigen presentation. Plays a pivotal role in the protein quality control system, ensuring the correct folding of proteins, the re-folding of misfolded proteins and controlling the targeting of proteins for subsequent degradation (PubMed:21148293, PubMed:21150129, PubMed:23018488, PubMed:24732912, PubMed:27916661, PubMed:2799391, PubMed:36586411). This is achieved through cycles of ATP binding, ATP hydrolysis and ADP release, mediated by co-chaperones (PubMed:12526792, PubMed:21148293, PubMed:21150129, PubMed:23018488, PubMed:24732912, PubMed:27916661). The co-chaperones have been shown to not only regulate different steps of the ATPase cycle of HSP70, but they also have an individual specificity such that one co-chaperone may promote folding of a substrate while another may promote degradation (PubMed:12526792, PubMed:21148293, PubMed:21150129, PubMed:23018488, PubMed:24732912, PubMed:27916661). The affinity of HSP70 for polypeptides is regulated by its nucleotide bound state. In the ATP-bound form, it has a low affinity for substrate proteins. However, upon hydrolysis of the ATP to ADP, it undergoes a conformational change that increases its affinity for substrate proteins. HSP70 goes through repeated cycles of ATP hydrolysis and nucleotide exchange, which permits cycles of substrate binding and release. The HSP70-associated co-chaperones are of three types: J-domain co-chaperones HSP40s (stimulate ATPase hydrolysis by HSP70), the nucleotide exchange factors (NEF) such as BAG1/2/3 (facilitate conversion of HSP70 from the ADP-bound to the ATP-bound state thereby promoting substrate release), and the TPR domain chaperones such as HOPX and STUB1 (PubMed:24121476, PubMed:24318877, PubMed:26865365, PubMed:27474739). Plays a critical role in mitochondrial import, delivers preproteins to the mitochondrial import receptor TOMM70 (PubMed:12526792). Acts as a repressor of transcriptional activation. Inhibits the transcriptional coactivator activity of CITED1 on Smad-mediated transcription. Component of the PRP19-CDC5L complex that forms an integral part of the spliceosome and is required for activating pre-mRNA splicing. May have a scaffolding role in the spliceosome assembly as it contacts all other components of the core complex. Binds bacterial lipopolysaccharide (LPS) and mediates LPS-induced inflammatory response, including TNF secretion by monocytes (PubMed:10722728, PubMed:11276205). Substrate recognition component in chaperone-mediated autophagy (CMA), a selective protein degradation process that mediates degradation of proteins with a -KFERQ motif: HSPA8/HSC70 specifically recognizes and binds cytosolic proteins bearing a -KFERQ motif and promotes their recruitment to the surface of the lysosome where they bind to lysosomal protein LAMP2 (PubMed:11559757, PubMed:2799391, PubMed:36586411). KFERQ motif-containing proteins are eventually transported into the lysosomal lumen where they are degraded (PubMed:11559757, PubMed:2799391, PubMed:36586411). In conjunction with LAMP2, facilitates MHC class II presentation of cytoplasmic antigens by guiding antigens to the lysosomal membrane for interaction with LAMP2 which then elicits MHC class II presentation of peptides to the cell membrane (PubMed:15894275). Participates in the ER-associated degradation (ERAD) quality control pathway in conjunction with J domain-containing co-chaperones and the E3 ligase STUB1 (PubMed:23990462). It is recruited to clathrin-coated vesicles through its interaction with DNAJC6 leading to activation of HSPA8/HSC70 ATPase activity and therefore uncoating of clathrin-coated vesicles (By similarity)
Q14525	Keratin, type I cuticular Ha3-II	KRT33B	Homo sapiens	404	No function information available
Q96HM7	PC-esterase domain-containing protein 1B	PCED1B	Homo sapiens	432	No function information available
Q14CX5	Transmembrane protein 180	MFSD13A	Homo sapiens	517	No function information available
O15050	TPR and ankyrin repeat-containing protein 1	TRANK1	Homo sapiens	2925	No function information available
Q7Z2Z2	Elongation factor-like GTPase 1	EFL1	Homo sapiens	1120	GTPase involved in the biogenesis of the 60S ribosomal subunit and translational activation of ribosomes. Together with SBDS, triggers the GTP-dependent release of EIF6 from 60S pre-ribosomes in the cytoplasm, thereby activating ribosomes for translation competence by allowing 80S ribosome assembly and facilitating EIF6 recycling to the nucleus, where it is required for 60S rRNA processing and nuclear export
P0CG13	Chromosome transmission fidelity protein 8 homolog	CHTF8	Homo sapiens	121	Chromosome cohesion factor involved in sister chromatid cohesion and fidelity of chromosome transmission. Component of one of the cell nuclear antigen loader complexes, CTF18-replication factor C (CTF18-RFC), which consists of CTF18, CTF8, DSCC1, RFC2, RFC3, RFC4 and RFC5. The CTF18-RFC complex binds to single-stranded and primed DNAs and has weak ATPase activity that is stimulated the presence of primed DNA, replication protein A (RPA) and proliferating cell nuclear antigen (PCNA). The CTF18-RFC complex catalyzes the ATP-dependent loading of PCNA onto primed and gapped DNA. It also interacts with and stimulates POLH, which is suggestive of a protein network that coordinates DNA repair, recombination and chromosome cohesion reactions with replication fork progression
Q9Y530	ADP-ribose glycohydrolase OARD1	OARD1	Homo sapiens	152	ADP-ribose glycohydrolase that hydrolyzes ADP-ribose and acts on different substrates, such as proteins ADP-ribosylated on glutamate and O-acetyl-ADP-D-ribose (PubMed:21849506, PubMed:23474714, PubMed:23481255). Specifically acts as a glutamate mono-ADP-ribosylhydrolase by mediating the removal of mono-ADP-ribose attached to glutamate residues on proteins (PubMed:23474714, PubMed:23481255). Does not act on poly-ADP-ribosylated proteins: the poly-ADP-ribose chain of poly-ADP-ribosylated glutamate residues must by hydrolyzed into mono-ADP-ribosylated glutamate by PARG to become a substrate for OARD1 (PubMed:23481255). Deacetylates O-acetyl-ADP ribose, a signaling molecule generated by the deacetylation of acetylated lysine residues in histones and other proteins (PubMed:21849506). Catalyzes the deacylation of O-acetyl-ADP-ribose, O-propionyl-ADP-ribose and O-butyryl-ADP-ribose, yielding ADP-ribose plus acetate, propionate and butyrate, respectively (PubMed:21849506)
P49336	Cyclin-dependent kinase 8	CDK8	Homo sapiens	464	Component of the Mediator complex, a coactivator involved in regulated gene transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional pre-initiation complex with RNA polymerase II and the general transcription factors. Phosphorylates the CTD (C-terminal domain) of the large subunit of RNA polymerase II (RNAp II), which may inhibit the formation of a transcription initiation complex. Phosphorylates CCNH leading to down-regulation of the TFIIH complex and transcriptional repression. Recruited through interaction with MAML1 to hyperphosphorylate the intracellular domain of NOTCH, leading to its degradation
Q8N1A0	Keratin-like protein KRT222	KRT222	Homo sapiens	295	No function information available
Q6PGQ7	Protein aurora borealis	BORA	Homo sapiens	559	Required for the activation of AURKA at the onset of mitosis
Q5VTM2	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 9	AGAP9	Homo sapiens	703	Putative GTPase-activating protein
Q05DH4	FHF complex subunit HOOK-interacting protein 1A	FHIP1A	Homo sapiens	1040	Probable component of the FTS/Hook/FHIP complex (FHF complex) (PubMed:32073997). FHF complex promotes the distribution of AP-4 complex to the perinuclear area of the cell (PubMed:32073997)
Q92796	Disks large homolog 3	DLG3	Homo sapiens	817	Required for learning most likely through its role in synaptic plasticity following NMDA receptor signaling
Q9H816	5' exonuclease Apollo	DCLRE1B	Homo sapiens	532	5'-3' exonuclease that plays a central role in telomere maintenance and protection during S-phase. Participates in the protection of telomeres against non-homologous end-joining (NHEJ)-mediated repair, thereby ensuring that telomeres do not fuse. Plays a key role in telomeric loop (T loop) formation by being recruited by TERF2 at the leading end telomeres and by processing leading-end telomeres immediately after their replication via its exonuclease activity: generates 3' single-stranded overhang at the leading end telomeres avoiding blunt leading-end telomeres that are vulnerable to end-joining reactions and expose the telomere end in a manner that activates the DNA repair pathways. Together with TERF2, required to protect telomeres from replicative damage during replication by controlling the amount of DNA topoisomerase (TOP1, TOP2A and TOP2B) needed for telomere replication during fork passage and prevent aberrant telomere topology. Also involved in response to DNA damage: plays a role in response to DNA interstrand cross-links (ICLs) by facilitating double-strand break formation. In case of spindle stress, involved in prophase checkpoint. Possesses beta-lactamase activity, catalyzing the hydrolysis of penicillin G and nitrocefin (PubMed:31434986). Exhibits no activity towards other beta-lactam antibiotic classes including cephalosporins (cefotaxime) and carbapenems (imipenem) (PubMed:31434986)
Q701N2	Keratin-associated protein 5-5	KRTAP5-5	Homo sapiens	237	In the hair cortex, hair keratin intermediate filaments are embedded in an interfilamentous matrix, consisting of hair keratin-associated protein (KRTAP), which are essential for the formation of a rigid and resistant hair shaft through their extensive disulfide bond cross-linking with abundant cysteine residues of hair keratins. The matrix proteins include the high-sulfur and high-glycine-tyrosine keratins
Q9NZL6	Ral guanine nucleotide dissociation stimulator-like 1	RGL1	Homo sapiens	768	Probable guanine nucleotide exchange factor
Q06609	DNA repair protein RAD51 homolog 1	RAD51	Homo sapiens	339	Plays an important role in homologous strand exchange, a key step in DNA repair through homologous recombination (HR) (PubMed:12205100, PubMed:18417535, PubMed:20231364, PubMed:20348101, PubMed:22325354, PubMed:23509288, PubMed:23754376, PubMed:26681308, PubMed:28575658, PubMed:32640219). Binds to single-stranded DNA in an ATP-dependent manner to form nucleoprotein filaments which are essential for the homology search and strand exchange (PubMed:12205100, PubMed:18417535, PubMed:20231364, PubMed:20348101, PubMed:23509288, PubMed:23754376, PubMed:26681308, PubMed:28575658). Catalyzes the recognition of homology and strand exchange between homologous DNA partners to form a joint molecule between a processed DNA break and the repair template (PubMed:12205100, PubMed:18417535, PubMed:20231364, PubMed:20348101, PubMed:23509288, PubMed:23754376, PubMed:26681308, PubMed:28575658, PubMed:38459011). Recruited to resolve stalled replication forks during replication stress (PubMed:27797818, PubMed:31844045). Part of a PALB2-scaffolded HR complex containing BRCA2 and RAD51C and which is thought to play a role in DNA repair by HR (PubMed:12442171, PubMed:24141787). Plays a role in regulating mitochondrial DNA copy number under conditions of oxidative stress in the presence of RAD51C and XRCC3 (PubMed:20413593). Also involved in interstrand cross-link repair (PubMed:26253028)
P01766	Immunoglobulin heavy variable 3-13	IGHV3-13	Homo sapiens	116	V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition (PubMed:24600447). Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins-secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, which results in the elimination of bound antigens (PubMed:20176268, PubMed:22158414). The antigen binding site is formed by the variable domain of one heavy chain, together with that of its associated light chain. Thus, each immunoglobulin has two antigen binding sites with remarkable affinity for a particular antigen. The variable domains are assembled by a process called V-(D)-J rearrangement and can then be subjected to somatic hypermutations which, after exposure to antigen and selection, allow affinity maturation for a particular antigen (PubMed:17576170, PubMed:20176268)
O95777	U6 snRNA-associated Sm-like protein LSm8	LSM8	Homo sapiens	96	Plays a role in pre-mRNA splicing as component of the U4/U6-U5 tri-snRNP complex that is involved in spliceosome assembly, and as component of the precatalytic spliceosome (spliceosome B complex) (PubMed:28781166). The heptameric LSM2-8 complex binds specifically to the 3'-terminal U-tract of U6 snRNA (PubMed:10523320)
A6NEM1	Golgin subfamily A member 6-like protein 9	GOLGA6L9	Homo sapiens	432	No function information available
Q8WU08	Serine/threonine-protein kinase 32A	STK32A	Homo sapiens	396	No function information available
P0DH78	RING finger protein 224	RNF224	Homo sapiens	156	No function information available
Q8NBM8	Prenylcysteine oxidase 1-like	PCYOX1L	Homo sapiens	494	Likely to have oxidoreductase activity (Probable). Required in the mevalonate pathway to regulate prenylation and enhances the bactericidal activity of neutrophils (By similarity)
Q5BJH2	Transmembrane protein 128	TMEM128	Homo sapiens	165	No function information available
P0DN25	C1GALT1-specific chaperone 1-like protein	C1GALT1C1L	Homo sapiens	315	No function information available
Q4G0X4	BTB/POZ domain-containing protein KCTD21	KCTD21	Homo sapiens	260	Probable substrate-specific adapter of a BCR (BTB-CUL3-RBX1) E3 ubiquitin-protein ligase complex mediating the ubiquitination and subsequent proteasomal degradation of target proteins. Promotes the ubiquitination of HDAC1. Can function as antagonist of the Hedgehog pathway by affecting the nuclear transfer of transcription factor GLI1; the function probably occurs via HDAC1 down-regulation, keeping GLI1 acetylated and inactive. Inhibits cell growth and tumorigenicity of medulloblastoma (MDB) (PubMed:21472142)
P0CF97	Protein FAM200B	FAM200B	Homo sapiens	657	No function information available
Q7Z739	YTH domain-containing family protein 3	YTHDF3	Homo sapiens	585	Specifically recognizes and binds N6-methyladenosine (m6A)-containing RNAs, and regulates their stability (PubMed:28106072, PubMed:28106076, PubMed:28281539, PubMed:32492408). M6A is a modification present at internal sites of mRNAs and some non-coding RNAs and plays a role in mRNA stability and processing (PubMed:22575960, PubMed:24284625, PubMed:28106072, PubMed:28281539, PubMed:32492408). Acts as a regulator of mRNA stability by promoting degradation of m6A-containing mRNAs via interaction with the CCR4-NOT complex or PAN3 (PubMed:32492408). The YTHDF paralogs (YTHDF1, YTHDF2 and YTHDF3) share m6A-containing mRNAs targets and act redundantly to mediate mRNA degradation and cellular differentiation (PubMed:28106072, PubMed:28106076, PubMed:32492408). Acts as a negative regulator of type I interferon response by down-regulating interferon-stimulated genes (ISGs) expression: acts by binding to FOXO3 mRNAs (By similarity). Binds to FOXO3 mRNAs independently of METTL3-mediated m6A modification (By similarity). Can also act as a regulator of mRNA stability in cooperation with YTHDF2 by binding to m6A-containing mRNA and promoting their degradation (PubMed:28106072). Recognizes and binds m6A-containing circular RNAs (circRNAs); circRNAs are generated through back-splicing of pre-mRNAs, a non-canonical splicing process promoted by dsRNA structures across circularizing exons (PubMed:28281539). Promotes formation of phase-separated membraneless compartments, such as P-bodies or stress granules, by undergoing liquid-liquid phase separation upon binding to mRNAs containing multiple m6A-modified residues: polymethylated mRNAs act as a multivalent scaffold for the binding of YTHDF proteins, juxtaposing their disordered regions and thereby leading to phase separation (PubMed:31292544, PubMed:31388144, PubMed:32451507). The resulting mRNA-YTHDF complexes then partition into different endogenous phase-separated membraneless compartments, such as P-bodies, stress granules or neuronal RNA granules (PubMed:31292544). May also recognize and bind N1-methyladenosine (m1A)-containing mRNAs: inhibits trophoblast invasion by binding to m1A-methylated transcripts of IGF1R, promoting their degradation (PubMed:32194978)
P62070	Ras-related protein R-Ras2	RRAS2	Homo sapiens	204	GTP-binding protein with GTPase activity, involved in the regulation of MAPK signaling pathway and thereby controlling multiple cellular processes (PubMed:31130282, PubMed:31130285, PubMed:39809765). Regulates craniofacial development (PubMed:31130282, PubMed:31130285)
Q96I27	Zinc finger protein 625	ZNF625	Homo sapiens	306	May be involved in transcriptional regulation
Q6ZMR3	L-lactate dehydrogenase A-like 6A	LDHAL6A	Homo sapiens	332	Catalyzes the interconversion of L-lactate and pyruvate with nicotinamide adenine dinucleotide NAD(+) as a coenzyme (PubMed:18351441). Significantly increases the transcriptional activity of JUN, when overexpressed
Q6ZS82	Regulator of G-protein signaling 9-binding protein	RGS9BP	Homo sapiens	235	Regulator of G protein-coupled receptor (GPCR) signaling in phototransduction. Participates in the recovery phase of visual transduction via its interaction with RGS9-1 isoform. Acts as a membrane-anchor that mediates the targeting of RGS9-1 to the photoreceptor outer segment, where phototransduction takes place. Enhances the ability of RGS9-1 to stimulate G protein GTPase activity, allowing the visual signal to be terminated on the physiologically time scale. It also controls the proteolytic stability of RGS9-1, probably by protecting it from degradation (By similarity)
Q9NPF0	CD320 antigen	CD320	Homo sapiens	282	Receptor for transcobalamin saturated with cobalamin (TCbl) (PubMed:18779389). Plays an important role in cobalamin uptake (PubMed:18779389, PubMed:20524213). Plasma membrane protein that is expressed on follicular dendritic cells (FDC) and mediates interaction with germinal center B cells (PubMed:10727470). Functions as costimulator to promote B cell responses to antigenic stimuli; promotes B cell differentiation and proliferation (PubMed:10727470, PubMed:11418631). Germinal center-B (GC-B) cells differentiate into memory B-cells and plasma cells (PC) through interaction with T-cells and follicular dendritic cells (FDC) (PubMed:11418631). CD320 augments the proliferation of PC precursors generated by IL-10 (PubMed:11418631)
Q8WXG8	Protein S100-Z	S100Z	Homo sapiens	99	No function information available
P30533	Alpha-2-macroglobulin receptor-associated protein	LRPAP1	Homo sapiens	357	Molecular chaperone for LDL receptor-related proteins that may regulate their ligand binding activity along the secretory pathway
Q9NY12	H/ACA ribonucleoprotein complex subunit 1	GAR1	Homo sapiens	217	Required for ribosome biogenesis and telomere maintenance. Part of the H/ACA small nucleolar ribonucleoprotein (H/ACA snoRNP) complex, which catalyzes pseudouridylation of rRNA. This involves the isomerization of uridine such that the ribose is subsequently attached to C5, instead of the normal N1. Each rRNA can contain up to 100 pseudouridine ('psi') residues, which may serve to stabilize the conformation of rRNAs. May also be required for correct processing or intranuclear trafficking of TERC, the RNA component of the telomerase reverse transcriptase (TERT) holoenzyme
Q9Y6M9	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9	NDUFB9	Homo sapiens	179	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
Q9BWW7	Transcriptional repressor scratch 1	SCRT1	Homo sapiens	348	Transcriptional repressor that binds E-box motif CAGGTG. Can modulate the action of basic helix-loop-helix (bHLH) transcription factors, critical for neuronal differentiation
P17693	HLA class I histocompatibility antigen, alpha chain G	HLA-G	Homo sapiens	338	Non-classical major histocompatibility class Ib molecule involved in immune regulatory processes at the maternal-fetal interface (PubMed:19304799, PubMed:23184984, PubMed:29262349). In complex with B2M/beta-2 microglobulin binds a limited repertoire of nonamer self-peptides derived from intracellular proteins including histones and ribosomal proteins (PubMed:7584149, PubMed:8805247). Peptide-bound HLA-G-B2M complex acts as a ligand for inhibitory/activating KIR2DL4, LILRB1 and LILRB2 receptors on uterine immune cells to promote fetal development while maintaining maternal-fetal tolerance (PubMed:16366734, PubMed:19304799, PubMed:20448110, PubMed:23184984, PubMed:27859042, PubMed:29262349). Upon interaction with KIR2DL4 and LILRB1 receptors on decidual NK cells, it triggers NK cell senescence-associated secretory phenotype as a molecular switch to promote vascular remodeling and fetal growth in early pregnancy (PubMed:16366734, PubMed:19304799, PubMed:23184984, PubMed:29262349). Through interaction with KIR2DL4 receptor on decidual macrophages induces pro-inflammatory cytokine production mainly associated with tissue remodeling (PubMed:19304799). Through interaction with LILRB2 receptor triggers differentiation of type 1 regulatory T cells and myeloid-derived suppressor cells, both of which actively maintain maternal-fetal tolerance (PubMed:20448110, PubMed:27859042). May play a role in balancing tolerance and antiviral-immunity at maternal-fetal interface by keeping in check the effector functions of NK, CD8+ T cells and B cells (PubMed:10190900, PubMed:11290782, PubMed:24453251). Reprograms B cells toward an immune suppressive phenotype via LILRB1 (PubMed:24453251). May induce immune activation/suppression via intercellular membrane transfer (trogocytosis), likely enabling interaction with KIR2DL4, which resides mostly in endosomes (PubMed:20179272, PubMed:26460007). Through interaction with the inhibitory receptor CD160 on endothelial cells may control angiogenesis in immune privileged sites (PubMed:16809620)
Q96FT7	Acid-sensing ion channel 4	ASIC4	Homo sapiens	539	Does not exhibit measurable stand-alone pH-gated sodium channel activity but may form pH-gated heterotrimeric sodium channels. Its activity could also depend on alternative gating mechanisms
Q13698	Voltage-dependent L-type calcium channel subunit alpha-1S	CACNA1S	Homo sapiens	1873	Pore-forming, alpha-1S subunit of the voltage-gated calcium channel that gives rise to L-type calcium currents in skeletal muscle. Calcium channels containing the alpha-1S subunit play an important role in excitation-contraction coupling in skeletal muscle via their interaction with RYR1, which triggers Ca(2+) release from the sarcoplasmic reticulum and ultimately results in muscle contraction. Long-lasting (L-type) calcium channels belong to the 'high-voltage activated' (HVA) group
